date | value
2011-01-03 | 3
2008-01-03 | 3
2011-42-03 | 2
2011-01-42 | 1
2011-01-03 | 2.02
2012-01-05 | 3.14
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 21474836488
2012-01-11 | -214748364988
2022-11-16 | 4.56
2023-01-01 | 10.5
2023-02-28 | 20.33
2023-03-31 | 30.0
2023-04-15 | 15.75
2023-05-20 | 25.5
2023-06-30 | 40.2
2023-07-10 | -5.8
2023-08-05 | 18.9
2023-09-15 | 12.6
2023-10-25 | 35.75
2023-11-30 | 22.0
2024-01-01 | 5.5
2024-02-14 | 8.33
2024-03-20 | 27.1
2024-04-05 | -3.7
2024-05-10 | 16.8
2024-06-15 | 21.9
2024-07-25 | 33.4
2024-08-30 | 7.2
2024-09-05 | 19.6
2024-10-12 | 14.0
2024-11-22 | 26.8
2024-12-31 | 31.25
2025-02-01 | 11.2
2025-03-15 | 9.6
2025-04-20 | 29.0
2025-05-25 | -2.5
2025-06-30 | 23.4
2025-07-05 | 37.8
2025-08-10 | 13.7
2025-09-20 | 18.0
2025-10-30 | 24.3
2025-11-05 | 6.1
2025-12-15 | 32.6
2026-01-01 | 0.8
2026-02-14 | 16.5
2026-03-25 | 21.0
2026-04-30 | 28.4
2026-05-10 | 10.9
2026-06-15 | 12.4
2026-07-25 | 26.0
2026-08-30 | 8.7
2026-09-05 | 17.3
2026-10-12 | 31.0
2026-11-22 | 4.5
2026-12-31 | 22.7
2027-02-01 | -3.2
2027-03-15 | 15.8
2027-04-20 | 20.0
2027-05-25 | 27.5
2027-06-30 | 9.1
2027-07-05 | 14.2
2027-08-10 | 25.6
2027-09-20 | 7.8
2027-10-30 | 16.0
2027-11-05 | 30.2
2027-12-15 | 3.3
2028-01-01 | 21.5
2028-02-14 | 19.9
2028-03-25 | 34.7
2028-04-30 | 6.7
2028-05-10 | 13.4
2028-06-15 | 24.9
2028-07-25 | 36.1
2028-08-30 | 2.6
2028-09-05 | 11.8
2028-10-12 | 27.3
2028-11-22 | 1.2
2028-12-31 | 23.8
